Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
PI-483314_K10L2.3.DC2,Dawe_Lab_2,NA,NA,Landrace,Ab10_Unknown,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.1.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.10.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.11.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.12.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.13.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.14.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.15.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.16.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.17.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.18.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.19.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.2.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.20.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.21.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.22.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.23.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.24.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.25.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.26.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.27.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.28.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.29.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.3.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.30.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.31.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.32.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
W23_AB10-I.33.DC1,Dawe_Lab_1,NA,NA,Inbred,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA
