ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
SEEDGWAS1095,SEEDGWAS1095,6010240,6023160,0.997854946572895,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002036,NA,Landrace,Unknown,Unknown,18.75,-99.45,1051,NA,NA,NA,NA
SEEDGWAS1900,SEEDGWAS1900,6014798,6023160,0.998611692201436,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004123,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS221,SEEDGWAS221,4516940,4517370,0.999904811870624,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003942,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS2783,SEEDGWAS2783,6012007,6023160,0.998148314173955,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006097,NA,Landrace,Unknown,Unknown,17.592724,-96.549449,2063,NA,NA,NA,NA
SEEDGWAS3159,SEEDGWAS3159,6008532,6023160,0.997571374494451,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000061,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS3234,SEEDGWAS3234,6023143,6023160,0.99999717756128,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007272,NA,Landrace,Unknown,Unknown,28.11666667,-109.3,401,NA,NA,NA,NA
SEEDGWAS3269,SEEDGWAS3269,6023155,6023160,0.999999169870965,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-012492,NA,Landrace,Unknown,Unknown,-32.55,-66.28333333,660,NA,NA,NA,NA
SEEDGWAS3287,SEEDGWAS3287,6007324,6023160,0.997370815319533,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016706,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS3410,SEEDGWAS3410,3010147,3011580,0.999524170036991,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002087,NA,Landrace,Unknown,Unknown,18.75,-99.66666667,1617,NA,NA,NA,NA
SEEDGWAS3466,SEEDGWAS3466,6007994,6023160,0.997482052610258,1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006446,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
