Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
SEEDGWAS1095.RN,SEEDGWAS1095.RN,6009930,6023160,0.997803478572709,1.RN,SEEDGWAS1095.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002036,NA,Landrace,Unknown,Unknown,18.75,-99.45,1051,NA,NA,NA,NA
SEEDGWAS1900.RN,SEEDGWAS1900.RN,6014802,6023160,0.998612356304664,1.RN,SEEDGWAS1900.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004123,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS221.RN,SEEDGWAS221.RN,4516880,4517370,0.99989152980606,1.RN,SEEDGWAS221.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-003942,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS2783.RN,SEEDGWAS2783.RN,6011975,6023160,0.998143001348129,1.RN,SEEDGWAS2783.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006097,NA,Landrace,Unknown,Unknown,17.592724,-96.549449,2063,NA,NA,NA,NA
SEEDGWAS3042.RN,SEEDGWAS3042.RN,6004826,6023160,0.996956082853519,1.RN,SEEDGWAS3042.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-019467,NA,Landrace,Unknown,Unknown,19.86666667,-97.58333333,1837,NA,NA,NA,NA
SEEDGWAS3159.RN,SEEDGWAS3159.RN,6008533,6023160,0.997571540520258,1.RN,SEEDGWAS3159.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000061,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS3209.RN,SEEDGWAS3209.RN,6005152,6023160,0.997010207266617,1.RN,SEEDGWAS3209.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004524,NA,Landrace,Unknown,Unknown,-28.263266,-54.009359,310,NA,NA,NA,NA
SEEDGWAS3234.RN,SEEDGWAS3234.RN,6023149,6023160,0.999998173716122,1.RN,SEEDGWAS3234.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007272,NA,Landrace,Unknown,Unknown,28.11666667,-109.3,401,NA,NA,NA,NA
SEEDGWAS3269.RN,SEEDGWAS3269.RN,6023153,6023160,0.999998837819351,1.RN,SEEDGWAS3269.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-012492,NA,Landrace,Unknown,Unknown,-32.55,-66.28333333,660,NA,NA,NA,NA
SEEDGWAS3287.RN,SEEDGWAS3287.RN,6007051,6023160,0.997325490274208,1.RN,SEEDGWAS3287.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-016706,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
SEEDGWAS3410.RN,SEEDGWAS3410.RN,3010158,3011580,0.999527822604746,1.RN,SEEDGWAS3410.1.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002087,NA,Landrace,Unknown,Unknown,18.75,-99.66666667,1617,NA,NA,NA,NA
