ShortName,Name,Missing,Total,Perc_Missing,ExtraName,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,12S000301.SW,1423181,1505790,0.945139096421148,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S000401.SW,1448299,1505790,0.961820041307221,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S001101.SW,1431470,1505790,0.950643848079746,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S001301.SW,1440459,1505790,0.956613471998087,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S001401.SW,1446347,1505790,0.960523711805763,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002101.SW,1437193,1505790,0.954444510854767,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002201.SW,1440404,1505790,0.956576946320536,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002301.SW,1440799,1505790,0.956839267095677,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002401.SW,1410663,1505790,0.936825852210468,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002901.SW,1422625,1505790,0.944769855026265,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003301.SW,1423335,1505790,0.945241368318291,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003501.SW,1419376,1505790,0.942612183637825,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003601.SW,1424394,1505790,0.945944653636961,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003701.SW,1453182,1505790,0.96506285737055,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S004001.SW,1431138,1505790,0.950423365807981,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S004201.SW,1432689,1505790,0.951453389914928,NA,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
