Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,12S000301.SW,1422844,1505790,0.944915293633242,NA,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S000401.SW,1447806,1505790,0.961492638415715,NA,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S001101.SW,1431604,1505790,0.950732837912325,NA,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S001301.SW,1440155,1505790,0.956411584616713,NA,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S001401.SW,1446115,1505790,0.960369639856819,NA,NA,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002101.SW,1436976,1505790,0.954300400454247,NA,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002201.SW,1440461,1505790,0.956614800204544,NA,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002301.SW,1440272,1505790,0.956489284694413,NA,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002401.SW,1410350,1505790,0.936617987900039,NA,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S002901.SW,1422999,1505790,0.945018229633614,NA,NA,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003301.SW,1423105,1505790,0.945088624575804,NA,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003501.SW,1418511,1505790,0.942037734345427,NA,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
NA,12S003601.SW,1424407,1505790,0.945953286978928,NA,NA,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA
