Name,Ab10 Assignment
W23_AB10-I.1,Yes
W23_AB10-I.10,Yes
W23_AB10-I.11,No
W23_AB10-I.12,Yes
W23_AB10-I.13,No
W23_AB10-I.14,Yes
W23_AB10-I.15,Yes
W23_AB10-I.16,Yes
W23_AB10-I.17,Yes
W23_AB10-I.18,Yes
W23_AB10-I.19,Yes
W23_AB10-I.2,Yes
W23_AB10-I.20,Yes
W23_AB10-I.21,Yes
W23_AB10-I.22,Yes
W23_AB10-I.23,Yes
W23_AB10-I.24,Yes
W23_AB10-I.25,Yes
W23_AB10-I.26,Yes
W23_AB10-I.27,Yes
W23_AB10-I.28,Yes
W23_AB10-I.29,Yes
W23_AB10-I.3,Yes
W23_AB10-I.30,Yes
W23_AB10-I.31,Yes
W23_AB10-I.32,Yes
W23_AB10-I.33,Yes
W23_AB10-I.34,Yes
W23_AB10-I.35,Yes
W23_AB10-I.36,Yes
W23_AB10-I.37,Yes
W23_AB10-I.38,Yes
W23_AB10-I.39,Yes
W23_AB10-I.4,Yes
W23_AB10-I.40,Yes
W23_AB10-I.41,Yes
W23_AB10-I.5,Yes
W23_AB10-I.6,Yes
W23_AB10-I.7,Yes
W23_AB10-I.8,Yes
W23_AB10-I.9,Yes
W23_AB10-II.1,Yes
W23_AB10-II.10,Yes
W23_AB10-II.11,Yes
W23_AB10-II.12,Yes
W23_AB10-II.13,Yes
W23_AB10-II.14,Yes
W23_AB10-II.15,Yes
W23_AB10-II.16,Yes
W23_AB10-II.17,Yes
W23_AB10-II.18,Yes
W23_AB10-II.19,Yes
W23_AB10-II.2,Yes
W23_AB10-II.20,Yes
W23_AB10-II.21,Yes
W23_AB10-II.22,Yes
W23_AB10-II.23,Yes
W23_AB10-II.24,Yes
W23_AB10-II.25,Yes
W23_AB10-II.26,Yes
W23_AB10-II.27,Yes
W23_AB10-II.28,Yes
W23_AB10-II.29,Yes
W23_AB10-II.3,Yes
W23_AB10-II.30,Yes
W23_AB10-II.31,Yes
W23_AB10-II.32,Yes
W23_AB10-II.33,Yes
W23_AB10-II.34,Yes
W23_AB10-II.35,Yes
W23_AB10-II.36,No
W23_AB10-II.37,Yes
W23_AB10-II.4,Yes
W23_AB10-II.5,Yes
W23_AB10-II.6,Yes
W23_AB10-II.7,Yes
W23_AB10-II.8,Yes
W23_AB10-II.9,Yes
W23_N10.1,No
W23_N10.10,No
W23_N10.11,No
W23_N10.12,No
W23_N10.13,No
W23_N10.14,Yes
W23_N10.15,No
W23_N10.16,No
W23_N10.2,No
W23_N10.3,No
W23_N10.4,No
W23_N10.5,No
W23_N10.6,No
W23_N10.7,No
W23_N10.8,No
W23_N10.9,No
Ab10-I-Jal_het.1,Yes
Ab10-I-Jal_het.2,Yes
Ab10-I-Jal_het.3,Yes
Ab10-I-Jal_het.4,Yes
Ab10-I-Jal_het.5,Yes
Ab10-I-MMR_het.1,Yes
Ab10-I-MMR_het.2,Yes
Ab10-I-MMR_het.3,Yes
Ab10-I-MMR_het.4,Yes
Ab10-I-MMR_het.5,Yes
Ab10-II-MMR_het.1,Yes
Ab10-II-MMR_het.2,Yes
Ab10-II-MMR_het.3,Yes
Ab10-II-MMR_het.4,Yes
Ab10-II-MMR_het.5,Yes
Ab10-II-Sal_het.1,Yes
Ab10-II-Sal_het.2,Yes
Ab10-II-Sal_het.3,Yes
Ab10-II-Sal_het.4,Yes
Ab10-II-Sal_het.5,Yes
Ab10-II-Tel_het.1,Yes
Ab10-II-Tel_het.2,Yes
Ab10-II-Tel_het.3,Yes
Ab10-II-Tel_het.4,Yes
Ab10-II-Tel_het.5,Yes
Ab10-III-Cag_het.1,Yes
Ab10-III-Cag_het.2,Yes
Ab10-III-Cag_het.3,Yes
Ab10-III-Cag_het.4,Yes
Ab10-III-Cag_het.5,Yes
Ab10-III-Gva_het.1,Yes
Ab10-III-Gva_het.2,Yes
Ab10-III-Gva_het.3,Yes
Ab10-III-Gva_het.4,Yes
Ab10-III-Gva_het.5,Yes
Ab10-III-Hui_het.1,Yes
Ab10-III-Hui_het.2,Yes
Ab10-III-Hui_het.3,Yes
Ab10-III-Hui_het.4,Yes
Ab10-III-Hui_het.5,Yes
Ab10-III-Oax_het.1,Yes
Ab10-III-Oax_het.2,Yes
Ab10-III-Oax_het.3,Yes
Ab10-III-Oax_het.4,Yes
Ab10-III-Oax_het.5,Yes
B542C_L289_B-Chrom.1,No
B542C_L289_B-Chrom.2,No
B542C_L289_B-Chrom.3,No
B542C_L289_B-Chrom.4,No
B542C_L289.1,No
B542C_L289.2,No
B542C_L289.3,No
B73_K10L2.1,No
B73_K10L2.10,No
B73_K10L2.11,No
B73_K10L2.2,No
B73_K10L2.3,No
B73_K10L2.4,No
B73_K10L2.5,No
B73_K10L2.6,No
B73_K10L2.7,No
B73_K10L2.8,No
B73_K10L2.9,No
