"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"1","12E.1.RY","Romay_etal_2013","12E.1",NA,"Inbred","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","12S000301.RN","Romero-Navarro_etal_2017",NA,NA,"Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"3","12S000301.SW","Swarts_etal_2017","Ames_22643:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"4","12S000401.RN","Romero-Navarro_etal_2017",NA,NA,"Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"N10",NA
"5","12S000401.SW","Swarts_etal_2017","Ames_22643:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"6","12S001101.SW","Swarts_etal_2017","Ames_22643:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"7","12S001301.RN","Romero-Navarro_etal_2017",NA,NA,"Landrace","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"Ab10","Ambiguous"
"8","12S001301.SW","Swarts_etal_2017","Ames_22643:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ab10-III"
"9","12S001401.SW","Swarts_etal_2017","Ames_22643:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"10","12S002101.SW","Swarts_etal_2017","NSL_67049:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"11","12S002201.SW","Swarts_etal_2017","NSL_67049:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"12","12S002301.SW","Swarts_etal_2017","NSL_67049:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"13","12S002401.SW","Swarts_etal_2017","NSL_67049:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"14","12S002901.SW","Swarts_etal_2017","NSL_67049:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"15","12S003301.SW","Swarts_etal_2017","NSL_68330:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ab10-I"
"16","12S003501.SW","Swarts_etal_2017","NSL_68330:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"17","12S003601.SW","Swarts_etal_2017","NSL_68330:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"18","12S003701.SW","Swarts_etal_2017","NSL_68330:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"19","12S004001.SW","Swarts_etal_2017","NSL_68330:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"20","12S004201.SW","Swarts_etal_2017","NSL_68332:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"21","12S004501.SW","Swarts_etal_2017","NSL_68332:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ab10-I"
"22","12S004801.SW","Swarts_etal_2017","NSL_68332:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"Ab10","Ab10-I"
"23","12S004901.SW","Swarts_etal_2017","NSL_68332:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"24","12S005001.SW","Swarts_etal_2017","NSL_68332:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"25","12S005201.SW","Swarts_etal_2017","NSL_68335:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"26","12S005401.SW","Swarts_etal_2017","NSL_68335:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"27","12S005501.SW","Swarts_etal_2017","NSL_68335:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"28","12S006001.SW","Swarts_etal_2017","NSL_68335:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"29","12S006101.SW","Swarts_etal_2017","NSL_68335:Hopi","US - Puebloan (West)","Landrace","Unknown","Unknown",35.7833,-110.5035,1727,NA,NA,NA,NA,"N10",NA
"30","12S006901.SW","Swarts_etal_2017","PI_213714:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"31","12S007001.SW","Swarts_etal_2017","PI_213714:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"32","12S007301.SW","Swarts_etal_2017","PI_213714:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"33","12S007701.SW","Swarts_etal_2017","PI_213714:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"34","12S007801.SW","Swarts_etal_2017","PI_213714:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"35","12S008101.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"36","12S008401.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
"37","12S008701.SW","Swarts_etal_2017","PI_213728:Apache","US - Athabaskan","Landrace","Unknown","Unknown",33.22,110.25,1067,NA,NA,NA,NA,"N10",NA
