Name,B Chromosome Assignment
BLANK.1,1
BLANK.2,1
W23_AB10-I.1,1
W23_AB10-I.10,1
W23_AB10-I.11,1
W23_AB10-I.12,1
W23_AB10-I.13,1
W23_AB10-I.14,1
W23_AB10-I.15,1
W23_AB10-I.16,1
W23_AB10-I.17,1
W23_AB10-I.18,1
W23_AB10-I.19,1
W23_AB10-I.2,1
W23_AB10-I.20,1
W23_AB10-I.21,1
W23_AB10-I.22,1
W23_AB10-I.23,1
W23_AB10-I.24,1
W23_AB10-I.25,1
W23_AB10-I.26,1
W23_AB10-I.27,1
W23_AB10-I.28,1
W23_AB10-I.29,1
W23_AB10-I.3,1
W23_AB10-I.30,1
W23_AB10-I.31,1
W23_AB10-I.32,1
W23_AB10-I.33,1
W23_AB10-I.34,1
W23_AB10-I.35,1
W23_AB10-I.36,1
W23_AB10-I.37,1
W23_AB10-I.38,1
W23_AB10-I.39,1
W23_AB10-I.4,1
W23_AB10-I.40,1
W23_AB10-I.41,1
W23_AB10-I.5,1
W23_AB10-I.6,1
W23_AB10-I.7,1
W23_AB10-I.8,1
W23_AB10-I.9,1
W23_AB10-II.1,1
W23_AB10-II.10,1
W23_AB10-II.11,1
W23_AB10-II.12,1
W23_AB10-II.13,1
W23_AB10-II.14,1
W23_AB10-II.15,1
W23_AB10-II.16,1
W23_AB10-II.17,1
W23_AB10-II.18,1
W23_AB10-II.19,1
W23_AB10-II.2,1
W23_AB10-II.20,1
W23_AB10-II.21,1
W23_AB10-II.22,1
W23_AB10-II.23,1
W23_AB10-II.24,1
W23_AB10-II.25,1
W23_AB10-II.26,1
W23_AB10-II.27,1
W23_AB10-II.28,1
W23_AB10-II.29,1
W23_AB10-II.3,1
W23_AB10-II.30,1
W23_AB10-II.31,1
W23_AB10-II.32,1
W23_AB10-II.33,1
W23_AB10-II.34,1
W23_AB10-II.35,1
W23_AB10-II.36,1
W23_AB10-II.37,1
W23_AB10-II.4,1
W23_AB10-II.5,1
W23_AB10-II.6,1
W23_AB10-II.7,1
W23_AB10-II.8,1
W23_AB10-II.9,1
W23_N10.1,1
W23_N10.10,1
W23_N10.11,1
W23_N10.12,1
W23_N10.13,1
W23_N10.14,1
W23_N10.15,1
W23_N10.16,1
W23_N10.2,1
W23_N10.3,1
W23_N10.4,1
W23_N10.5,1
W23_N10.6,1
W23_N10.7,1
W23_N10.8,1
W23_N10.9,1
Ab10-I-Jal_het.1,1
Ab10-I-Jal_het.2,1
Ab10-I-Jal_het.3,1
Ab10-I-Jal_het.4,1
Ab10-I-Jal_het.5,1
Ab10-I-MMR_het.1,1
Ab10-I-MMR_het.2,1
Ab10-I-MMR_het.3,1
Ab10-I-MMR_het.4,1
Ab10-I-MMR_het.5,1
Ab10-II-MMR_het.1,1
Ab10-II-MMR_het.2,1
Ab10-II-MMR_het.3,1
Ab10-II-MMR_het.4,1
Ab10-II-MMR_het.5,1
Ab10-II-Sal_het.1,1
Ab10-II-Sal_het.2,1
Ab10-II-Sal_het.3,1
Ab10-II-Sal_het.4,1
Ab10-II-Sal_het.5,1
Ab10-II-Tel_het.1,1
Ab10-II-Tel_het.2,1
Ab10-II-Tel_het.3,1
Ab10-II-Tel_het.4,1
Ab10-II-Tel_het.5,1
Ab10-III-Cag_het.1,1
Ab10-III-Cag_het.2,1
Ab10-III-Cag_het.3,1
Ab10-III-Cag_het.4,1
Ab10-III-Cag_het.5,1
Ab10-III-Gva_het.1,1
Ab10-III-Gva_het.2,1
Ab10-III-Gva_het.3,1
Ab10-III-Gva_het.4,1
Ab10-III-Gva_het.5,1
Ab10-III-Hui_het.1,1
Ab10-III-Hui_het.2,1
Ab10-III-Hui_het.3,1
Ab10-III-Hui_het.4,1
Ab10-III-Hui_het.5,1
Ab10-III-Oax_het.1,1
Ab10-III-Oax_het.2,1
Ab10-III-Oax_het.3,1
Ab10-III-Oax_het.4,1
Ab10-III-Oax_het.5,1
B542C_L289_B-Chrom.1,1
B542C_L289_B-Chrom.2,2
B542C_L289_B-Chrom.3,2
B542C_L289_B-Chrom.4,2
B542C_L289.1,1
B542C_L289.2,1
B542C_L289.3,1
B73_K10L2.1,1
B73_K10L2.10,1
B73_K10L2.11,1
B73_K10L2.2,1
B73_K10L2.3,1
B73_K10L2.4,1
B73_K10L2.5,1
B73_K10L2.6,1
B73_K10L2.7,1
B73_K10L2.8,1
B73_K10L2.9,1
B73_N10.1,1
B73_N10.2,1
B73_N10.3,1
BLANK.3,2
FFMM_Ab10-I_hom.1,1
FFMM_Ab10-I_hom.2,1
FFMM_Ab10-I_hom.3,1
FFMM_B-Chrom.1,2
FFMM_B-Chrom.2,2
FFMM_B-Chrom.3,2
FFMM_B-Chrom.4,2
FFMM.1,1
FFMM.2,1
FFMM.3,1
NSL-2833_B-Chrom.1,2
NSL-2833_B-Chrom.2,1
NSL-2833_B-Chrom.3,2
NSL-2843_B-Chrom.1,2
PI-217409.1,1
PI-217409.2,1
PI-217409.3,1
PI-444954.1,1
PI-444954.2,1
PI-444954.3,1
PI-483314_K10L2.1,1
PI-483314_K10L2.2,1
PI-483314_K10L2.3,1
PI-490921_B-Chrom.1,2
PI-490921_B-Chrom.2,2
PI-490921_B-Chrom.3,2
W23_N10.17,1
W23_N10.18,1
W23_N10.19,1
12S000301.RM,2
12S000401.RM,2
12S001301.RM,2
SEEDGWAS1.RM,1
SEEDGWAS10.RM,1
SEEDGWAS1000.RM,1
SEEDGWAS1001.RM,1
SEEDGWAS1003.RM,1
SEEDGWAS1004.RM,1
SEEDGWAS1005.RM,1
SEEDGWAS1006.RM,1
