Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
Ab10-I-Jal_het.1.DC2,0.00919851889973084,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.2.DC2,0.00949911334027575,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.3.DC2,0.0102769843643746,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.4.DC2,0.00976865309383232,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.5.DC2,0.00910585790032288,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-MMR_het.1.DC2,0.0088670959671241,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.2.DC2,0.00920843299048091,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.3.DC2,0.00868044936040148,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.4.DC2,0.00859446091606444,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.5.DC2,0.00863538969145999,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-MMR_het.1.DC2,0.0106800372757565,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-MMR_het.2.DC2,0.00909316339016985,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-MMR_het.3.DC2,0.0123347561232196,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-MMR_het.4.DC2,0.00985872962873241,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-MMR_het.5.DC2,0.00941138930317774,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Sal_het.1.DC2,0.0109583829415764,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Sal_het.2.DC2,0.00921473115525314,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Sal_het.3.DC2,0.00977772333889078,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Sal_het.4.DC2,0.00998649567200772,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Sal_het.5.DC2,0.0123012622229536,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Tel_het.1.DC2,0.00861855893557608,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Tel_het.2.DC2,0.00922467866825766,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Tel_het.3.DC2,0.00965414753795209,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Tel_het.4.DC2,0.00905780430866422,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-II-Tel_het.5.DC2,0.0102242505287148,Dawe_Lab_2,NA,NA,Landrace,Ab10-II,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-III-Cag_het.1.DC2,0.00929580654455826,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-III-Cag_het.2.DC2,0.00888289183445954,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-III-Cag_het.3.DC2,0.00855360658013633,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-III-Cag_het.4.DC2,0.010109493559148,Dawe_Lab_2,NA,NA,Landrace,Ab10-III,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
