Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
Ab10-I-Jal_het.1.DC2,0.009198519,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.2.DC2,0.009499113,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.3.DC2,0.010276984,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.4.DC2,0.009768653,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-Jal_het.5.DC2,0.009105858,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,Ambiguous,NA,NA,NA,0,BChr
Ab10-I-MMR_het.1.DC2,0.008867096,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.2.DC2,0.009208433,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.3.DC2,0.008680449,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.4.DC2,0.008594461,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
Ab10-I-MMR_het.5.DC2,0.00863539,Dawe_Lab_2,NA,NA,Landrace,Ab10-I,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BChr
