Name,Prop,Model,KMeans_BChrom
12S000301.RN,0.992,High,Yes
12S000301.SW,1,High,Yes
12S001301.RN,1,High,Yes
12S001301.SW,1,High,Yes
12S006901.SW,1,High,Yes
12S007301.SW,1,High,Yes
12S013001.SW,1,High,Yes
12S013901.SW,1,High,Yes
12S014101.SW,1,High,Yes
12S016201.SW,1,High,Yes
12S016601.SW,1,High,Yes
12S017001.SW,1,High,Yes
12S017301.SW,1,High,Yes
12S018201.SW,1,High,Yes
12S025701.SW,1,High,Yes
12S026401.SW,1,High,Yes
12S027001.SW,1,High,Yes
12S027201.SW,1,High,Yes
12S029101.SW,1,High,Yes
12S029801.SW,1,High,Yes
12S032201.SW,1,High,Yes
12S037601.SW,1,High,Yes
12S038201.SW,1,High,Yes
12S038301.SW,1,High,Yes
12S038401.SW,1,High,Yes
12S041901.SW,1,High,Yes
12S042001.SW,1,High,Yes
12S044301.SW,1,High,Yes
12S045201.SW,1,High,Yes
12S045601.SW,1,High,Yes
12S045801.SW,1,High,Yes
12S046101.SW,1,High,Yes
12S046201.SW,1,High,Yes
12S047001.SW,1,High,Yes
12S047601.SW,1,High,Yes
12S047701.SW,1,High,Yes
12S047801.SW,1,High,Yes
12S048201.SW,1,High,Yes
12S048501.SW,1,High,Yes
12S048901.SW,1,High,Yes
12S049501.SW,1,High,Yes
13S000206.SW,1,High,Yes
13S002401.SW,1,High,Yes
13S005705.SW,1,High,Yes
13S006202.SW,1,High,Yes
13S006701.SW,1,High,Yes
13S007503.SW,1,High,Yes
13S008605.SW,1,High,Yes
13S009401.SW,0.968,High,Yes
13S009812.SW,1,High,Yes
13S010005.SW,1,High,Yes
13S010702.SW,1,High,Yes
13S010704.SW,1,High,Yes
13S010906.SW,1,High,Yes
13S011703.SW,1,High,Yes
13S012108.SW,1,High,Yes
13S012901.SW,1,High,Yes
13S013502.SW,1,High,Yes
13S013504.SW,1,High,Yes
13S014002.SW,1,High,Yes
13S014401.SW,1,High,Yes
13S014402.SW,1,High,Yes
13S014403.SW,1,High,Yes
13S016505.SW,1,High,Yes
13S016509.SW,1,High,Yes
13S017406.SW,1,High,Yes
13S018404.SW,1,High,Yes
13S018409.SW,1,High,Yes
13S018704.SW,1,High,Yes
13S018801.SW,1,High,Yes
13S018808.SW,1,High,Yes
13S019805.SW,1,High,Yes
13S020306.SW,1,High,Yes
13S020701.SW,1,High,Yes
13S020702.SW,1,High,Yes
13S021503.SW,1,High,Yes
13S022501.SW,1,High,Yes
13S023302.SW,1,High,Yes
