FID IID
12S000301.RN 12S000301.RN
12S000301.SW 12S000301.SW
12S000401.SW 12S000401.SW
12S001301.RN 12S001301.RN
12S001301.SW 12S001301.SW
12S006901.SW 12S006901.SW
12S007301.SW 12S007301.SW
12S007701.SW 12S007701.SW
12S007801.SW 12S007801.SW
12S013001.SW 12S013001.SW
12S013901.SW 12S013901.SW
12S014001.SW 12S014001.SW
12S014101.SW 12S014101.SW
12S016001.SW 12S016001.SW
12S016201.SW 12S016201.SW
12S016601.SW 12S016601.SW
12S017001.SW 12S017001.SW
12S017301.SW 12S017301.SW
12S018201.SW 12S018201.SW
12S025401.SW 12S025401.SW
12S025701.SW 12S025701.SW
12S026401.SW 12S026401.SW
12S026701.SW 12S026701.SW
12S027001.SW 12S027001.SW
12S027201.SW 12S027201.SW
12S027901.SW 12S027901.SW
12S028501.SW 12S028501.SW
12S029101.SW 12S029101.SW
12S029201.SW 12S029201.SW
12S029801.SW 12S029801.SW
12S032201.SW 12S032201.SW
12S037601.SW 12S037601.SW
12S038201.SW 12S038201.SW
12S038301.SW 12S038301.SW
12S038401.SW 12S038401.SW
12S038701.SW 12S038701.SW
12S041401.SW 12S041401.SW
12S041901.SW 12S041901.SW
12S042001.SW 12S042001.SW
12S044301.SW 12S044301.SW
12S044701.SW 12S044701.SW
12S045201.SW 12S045201.SW
12S045601.SW 12S045601.SW
12S045801.SW 12S045801.SW
12S046101.SW 12S046101.SW
12S046201.SW 12S046201.SW
12S047001.SW 12S047001.SW
12S047601.SW 12S047601.SW
12S047701.SW 12S047701.SW
12S047801.SW 12S047801.SW
12S048001.SW 12S048001.SW
12S048201.SW 12S048201.SW
12S048501.SW 12S048501.SW
12S048901.SW 12S048901.SW
12S049501.SW 12S049501.SW
12S049601.SW 12S049601.SW
12S050801.SW 12S050801.SW
13S000206.SW 13S000206.SW
13S001403.SW 13S001403.SW
13S001901.SW 13S001901.SW
13S002401.SW 13S002401.SW
13S002402.SW 13S002402.SW
13S002406.SW 13S002406.SW
13S002804.SW 13S002804.SW
13S003205.SW 13S003205.SW
13S005705.SW 13S005705.SW
13S006202.SW 13S006202.SW
13S006701.SW 13S006701.SW
13S007503.SW 13S007503.SW
13S008605.SW 13S008605.SW
13S009307.SW 13S009307.SW
13S009310.SW 13S009310.SW
13S009401.SW 13S009401.SW
13S009812.SW 13S009812.SW
13S009901.SW 13S009901.SW
13S010005.SW 13S010005.SW
13S010306.SW 13S010306.SW
13S010404.SW 13S010404.SW
13S010702.SW 13S010702.SW
13S010704.SW 13S010704.SW
13S010906.SW 13S010906.SW
13S011703.SW 13S011703.SW
13S012107.SW 13S012107.SW
13S012108.SW 13S012108.SW
13S012508.SW 13S012508.SW
13S012602.SW 13S012602.SW
13S012608.SW 13S012608.SW
13S012901.SW 13S012901.SW
13S012905.SW 13S012905.SW
13S013502.SW 13S013502.SW
13S013504.SW 13S013504.SW
13S014002.SW 13S014002.SW
13S014401.SW 13S014401.SW
13S014402.SW 13S014402.SW
13S014403.SW 13S014403.SW
13S014705.SW 13S014705.SW
13S015205.SW 13S015205.SW
13S015804.SW 13S015804.SW
13S015805.SW 13S015805.SW
13S016502.SW 13S016502.SW
13S016505.SW 13S016505.SW
13S016509.SW 13S016509.SW
13S017401.SW 13S017401.SW
13S017406.SW 13S017406.SW
13S017606.SW 13S017606.SW
13S018404.SW 13S018404.SW
13S018409.SW 13S018409.SW
13S018704.SW 13S018704.SW
13S018801.SW 13S018801.SW
13S018808.SW 13S018808.SW
13S019009.SW 13S019009.SW
13S019805.SW 13S019805.SW
13S020306.SW 13S020306.SW
13S020701.SW 13S020701.SW
13S020702.SW 13S020702.SW
13S021102.SW 13S021102.SW
13S021503.SW 13S021503.SW
13S021901.SW 13S021901.SW
13S022501.SW 13S022501.SW
13S023302.SW 13S023302.SW
13S023401.SW 13S023401.SW
13S024101.SW 13S024101.SW
13S024705.SW 13S024705.SW
13S025601.SW 13S025601.SW
13S028702.SW 13S028702.SW
13S029702.SW 13S029702.SW
13S029704.SW 13S029704.SW
13S031904.SW 13S031904.SW
13S033205.SW 13S033205.SW
13S033405.SW 13S033405.SW
13S035601.SW 13S035601.SW
13S036307.SW 13S036307.SW
13S036701.SW 13S036701.SW
13S036805.SW 13S036805.SW
13S036806.SW 13S036806.SW
13S037007.SW 13S037007.SW
13S038401.SW 13S038401.SW
13S039102.SW 13S039102.SW
13S039904.SW 13S039904.SW
13S040904.SW 13S040904.SW
13S042107.SW 13S042107.SW
13S042701.SW 13S042701.SW
13S043111.SW 13S043111.SW
13S043501.SW 13S043501.SW
13S045706.SW 13S045706.SW
13S046305.SW 13S046305.SW
13S046307.SW 13S046307.SW
13S046808.SW 13S046808.SW
13S047001.SW 13S047001.SW
13S047403.SW 13S047403.SW
13S047404.SW 13S047404.SW
13S048206.SW 13S048206.SW
13S049507.SW 13S049507.SW
13S049606.SW 13S049606.SW
13S050304.SW 13S050304.SW
13S050306.SW 13S050306.SW
13S050706.SW 13S050706.SW
13S051212.SW 13S051212.SW
13S051401.SW 13S051401.SW
13S052205.SW 13S052205.SW
13S052501.SW 13S052501.SW
13S053002.SW 13S053002.SW
13S053003.SW 13S053003.SW
13S053005.SW 13S053005.SW
13S053406.SW 13S053406.SW
13S053507.SW 13S053507.SW
13S053608.SW 13S053608.SW
13S053902.SW 13S053902.SW
13S053906.SW 13S053906.SW
13S054401.SW 13S054401.SW
13S054403.SW 13S054403.SW
13S054802.SW 13S054802.SW
13S054803.SW 13S054803.SW
13S055707.SW 13S055707.SW
13S056001.SW 13S056001.SW
13S056003.SW 13S056003.SW
13S056301.SW 13S056301.SW
13S057102.SW 13S057102.SW
13S057902.SW 13S057902.SW
13S058501.SW 13S058501.SW
13S058603.SW 13S058603.SW
13S059007.SW 13S059007.SW
13S059008.SW 13S059008.SW
13S059304.SW 13S059304.SW
13S059402.SW 13S059402.SW
Ames21512.1.RY Ames21512.1.RY
Ames23506.1.RY Ames23506.1.RY
Ames26125.1.RY Ames26125.1.RY
JLNCM-657_03.SW JLNCM-657_03.SW
JSG_Y_RMM-444_01.SW JSG_Y_RMM-444_01.SW
JSG_Y_RMM-444_04.SW JSG_Y_RMM-444_04.SW
JSG_Y_RMM-447_04.SW JSG_Y_RMM-447_04.SW
JSG-LCL-689_04.SW JSG-LCL-689_04.SW
NSL22631.1.RY NSL22631.1.RY
PI186184.1.RY PI186184.1.RY
PI186229.1.RY PI186229.1.RY
PI198889.1.RY PI198889.1.RY
PI198903.1.RY PI198903.1.RY
PI200196.1.RY PI200196.1.RY
PI340812.1.RY PI340812.1.RY
PI641259.1.RY PI641259.1.RY
RIMMA0382.1.SW RIMMA0382.1.SW
RIMMA0383.1.SW RIMMA0383.1.SW
RIMMA0395.2.SW RIMMA0395.2.SW
RIMMA0416.1.SW RIMMA0416.1.SW
RIMMA0417.1.SW RIMMA0417.1.SW
RIMMA0418.1.SW RIMMA0418.1.SW
RIMMA0423.1.SW RIMMA0423.1.SW
RIMMA0424.1.SW RIMMA0424.1.SW
RIMMA0425.1.SW RIMMA0425.1.SW
RIMMA0436.1.SW RIMMA0436.1.SW
RIMMA0437.1.SW RIMMA0437.1.SW
RIMMA0464.1.SW RIMMA0464.1.SW
RIMMA0465.1.SW RIMMA0465.1.SW
RIMMA0466.1.SW RIMMA0466.1.SW
RIMMA0619.1.SW RIMMA0619.1.SW
RIMMA0620.1.SW RIMMA0620.1.SW
RIMMA0628.1.SW RIMMA0628.1.SW
RIMMA0630.1.SW RIMMA0630.1.SW
RIMMA0657.1.SW RIMMA0657.1.SW
RIMMA0658.1.SW RIMMA0658.1.SW
RIMMA0664.1.SW RIMMA0664.1.SW
RIMMA0687.1.SW RIMMA0687.1.SW
RIMMA0696.1.SW RIMMA0696.1.SW
RIMMA0710.1.SW RIMMA0710.1.SW
SEEDGWAS1029.RN SEEDGWAS1029.RN
SEEDGWAS1097.RN SEEDGWAS1097.RN
SEEDGWAS1124.RN SEEDGWAS1124.RN
SEEDGWAS1154.RN SEEDGWAS1154.RN
SEEDGWAS116.RN SEEDGWAS116.RN
SEEDGWAS1165.RN SEEDGWAS1165.RN
SEEDGWAS1178.RN SEEDGWAS1178.RN
SEEDGWAS1183.RN SEEDGWAS1183.RN
SEEDGWAS1195.RN SEEDGWAS1195.RN
SEEDGWAS1202.RN SEEDGWAS1202.RN
SEEDGWAS1210.RN SEEDGWAS1210.RN
SEEDGWAS1212.RN SEEDGWAS1212.RN
SEEDGWAS1234.RN SEEDGWAS1234.RN
SEEDGWAS1254.RN SEEDGWAS1254.RN
SEEDGWAS1263.RN SEEDGWAS1263.RN
SEEDGWAS1293.RN SEEDGWAS1293.RN
SEEDGWAS1295.RN SEEDGWAS1295.RN
SEEDGWAS1299.RN SEEDGWAS1299.RN
SEEDGWAS1317.RN SEEDGWAS1317.RN
SEEDGWAS1340.RN SEEDGWAS1340.RN
SEEDGWAS1342.RN SEEDGWAS1342.RN
SEEDGWAS1348.RN SEEDGWAS1348.RN
SEEDGWAS1350.RN SEEDGWAS1350.RN
SEEDGWAS1356.RN SEEDGWAS1356.RN
SEEDGWAS1384.RN SEEDGWAS1384.RN
SEEDGWAS1429.RN SEEDGWAS1429.RN
SEEDGWAS143.RN SEEDGWAS143.RN
SEEDGWAS1430.RN SEEDGWAS1430.RN
SEEDGWAS1432.RN SEEDGWAS1432.RN
SEEDGWAS1438.RN SEEDGWAS1438.RN
SEEDGWAS1441.RN SEEDGWAS1441.RN
SEEDGWAS1477.RN SEEDGWAS1477.RN
SEEDGWAS1478.RN SEEDGWAS1478.RN
SEEDGWAS1479.RN SEEDGWAS1479.RN
SEEDGWAS1483.RN SEEDGWAS1483.RN
SEEDGWAS1487.RN SEEDGWAS1487.RN
SEEDGWAS1496.RN SEEDGWAS1496.RN
SEEDGWAS150.RN SEEDGWAS150.RN
SEEDGWAS1522.RN SEEDGWAS1522.RN
SEEDGWAS1554.RN SEEDGWAS1554.RN
SEEDGWAS1556.RN SEEDGWAS1556.RN
SEEDGWAS1564.RN SEEDGWAS1564.RN
SEEDGWAS1566.RN SEEDGWAS1566.RN
SEEDGWAS1581.RN SEEDGWAS1581.RN
SEEDGWAS1589.RN SEEDGWAS1589.RN
SEEDGWAS1596.RN SEEDGWAS1596.RN
SEEDGWAS1635.RN SEEDGWAS1635.RN
SEEDGWAS1644.RN SEEDGWAS1644.RN
SEEDGWAS1646.RN SEEDGWAS1646.RN
SEEDGWAS1651.RN SEEDGWAS1651.RN
SEEDGWAS1654.RN SEEDGWAS1654.RN
SEEDGWAS1659.RN SEEDGWAS1659.RN
SEEDGWAS1694.RN SEEDGWAS1694.RN
SEEDGWAS1713.RN SEEDGWAS1713.RN
SEEDGWAS1714.RN SEEDGWAS1714.RN
SEEDGWAS1715.RN SEEDGWAS1715.RN
SEEDGWAS1716.RN SEEDGWAS1716.RN
SEEDGWAS1721.RN SEEDGWAS1721.RN
SEEDGWAS1736.RN SEEDGWAS1736.RN
SEEDGWAS1737.RN SEEDGWAS1737.RN
SEEDGWAS1759.RN SEEDGWAS1759.RN
SEEDGWAS1762.RN SEEDGWAS1762.RN
SEEDGWAS1767.RN SEEDGWAS1767.RN
SEEDGWAS1768.RN SEEDGWAS1768.RN
SEEDGWAS1769.RN SEEDGWAS1769.RN
SEEDGWAS1776.RN SEEDGWAS1776.RN
SEEDGWAS178.RN SEEDGWAS178.RN
SEEDGWAS1788.RN SEEDGWAS1788.RN
SEEDGWAS1796.RN SEEDGWAS1796.RN
SEEDGWAS1800.RN SEEDGWAS1800.RN
SEEDGWAS1814.RN SEEDGWAS1814.RN
SEEDGWAS1833.RN SEEDGWAS1833.RN
SEEDGWAS1844.RN SEEDGWAS1844.RN
SEEDGWAS1849.RN SEEDGWAS1849.RN
SEEDGWAS2043.RN SEEDGWAS2043.RN
SEEDGWAS2089.RN SEEDGWAS2089.RN
SEEDGWAS2092.RN SEEDGWAS2092.RN
SEEDGWAS2093.RN SEEDGWAS2093.RN
SEEDGWAS2108.RN SEEDGWAS2108.RN
SEEDGWAS2156.RN SEEDGWAS2156.RN
SEEDGWAS2157.RN SEEDGWAS2157.RN
SEEDGWAS2176.RN SEEDGWAS2176.RN
SEEDGWAS2177.RN SEEDGWAS2177.RN
SEEDGWAS2182.RN SEEDGWAS2182.RN
SEEDGWAS2193.RN SEEDGWAS2193.RN
SEEDGWAS2210.RN SEEDGWAS2210.RN
SEEDGWAS225.RN SEEDGWAS225.RN
SEEDGWAS2250.RN SEEDGWAS2250.RN
SEEDGWAS2254.RN SEEDGWAS2254.RN
SEEDGWAS2261.RN SEEDGWAS2261.RN
SEEDGWAS2263.RN SEEDGWAS2263.RN
SEEDGWAS2264.RN SEEDGWAS2264.RN
SEEDGWAS2271.RN SEEDGWAS2271.RN
SEEDGWAS2282.RN SEEDGWAS2282.RN
SEEDGWAS2290.RN SEEDGWAS2290.RN
SEEDGWAS2303.RN SEEDGWAS2303.RN
SEEDGWAS2312.RN SEEDGWAS2312.RN
SEEDGWAS232.RN SEEDGWAS232.RN
SEEDGWAS2320.RN SEEDGWAS2320.RN
SEEDGWAS2324.RN SEEDGWAS2324.RN
SEEDGWAS2326.RN SEEDGWAS2326.RN
SEEDGWAS2327.RN SEEDGWAS2327.RN
SEEDGWAS2328.RN SEEDGWAS2328.RN
SEEDGWAS2335.RN SEEDGWAS2335.RN
SEEDGWAS2343.RN SEEDGWAS2343.RN
SEEDGWAS2373.RN SEEDGWAS2373.RN
SEEDGWAS2385.RN SEEDGWAS2385.RN
SEEDGWAS2393.RN SEEDGWAS2393.RN
SEEDGWAS2416.RN SEEDGWAS2416.RN
SEEDGWAS2450.RN SEEDGWAS2450.RN
SEEDGWAS2453.RN SEEDGWAS2453.RN
SEEDGWAS2462.RN SEEDGWAS2462.RN
SEEDGWAS2468.RN SEEDGWAS2468.RN
SEEDGWAS2470.RN SEEDGWAS2470.RN
SEEDGWAS2491.RN SEEDGWAS2491.RN
SEEDGWAS2493.RN SEEDGWAS2493.RN
SEEDGWAS2508.RN SEEDGWAS2508.RN
SEEDGWAS2546.RN SEEDGWAS2546.RN
SEEDGWAS2581.RN SEEDGWAS2581.RN
SEEDGWAS2585.RN SEEDGWAS2585.RN
SEEDGWAS2587.RN SEEDGWAS2587.RN
SEEDGWAS2598.RN SEEDGWAS2598.RN
SEEDGWAS2601.RN SEEDGWAS2601.RN
SEEDGWAS2608.RN SEEDGWAS2608.RN
SEEDGWAS2621.RN SEEDGWAS2621.RN
SEEDGWAS2633.RN SEEDGWAS2633.RN
SEEDGWAS2634.RN SEEDGWAS2634.RN
SEEDGWAS2640.RN SEEDGWAS2640.RN
SEEDGWAS2654.RN SEEDGWAS2654.RN
SEEDGWAS2661.RN SEEDGWAS2661.RN
SEEDGWAS2666.RN SEEDGWAS2666.RN
SEEDGWAS2678.RN SEEDGWAS2678.RN
SEEDGWAS2684.RN SEEDGWAS2684.RN
SEEDGWAS2700.RN SEEDGWAS2700.RN
SEEDGWAS2709.RN SEEDGWAS2709.RN
SEEDGWAS2710.RN SEEDGWAS2710.RN
SEEDGWAS2711.RN SEEDGWAS2711.RN
SEEDGWAS2712.RN SEEDGWAS2712.RN
SEEDGWAS2723.RN SEEDGWAS2723.RN
SEEDGWAS2743.RN SEEDGWAS2743.RN
SEEDGWAS2749.RN SEEDGWAS2749.RN
SEEDGWAS2751.RN SEEDGWAS2751.RN
SEEDGWAS2754.RN SEEDGWAS2754.RN
SEEDGWAS2765.RN SEEDGWAS2765.RN
SEEDGWAS2790.RN SEEDGWAS2790.RN
SEEDGWAS2791.RN SEEDGWAS2791.RN
SEEDGWAS2797.RN SEEDGWAS2797.RN
SEEDGWAS283.RN SEEDGWAS283.RN
SEEDGWAS2838.RN SEEDGWAS2838.RN
SEEDGWAS2844.RN SEEDGWAS2844.RN
SEEDGWAS2886.RN SEEDGWAS2886.RN
SEEDGWAS2897.RN SEEDGWAS2897.RN
SEEDGWAS2900.RN SEEDGWAS2900.RN
SEEDGWAS2901.RN SEEDGWAS2901.RN
SEEDGWAS2919.RN SEEDGWAS2919.RN
SEEDGWAS2920.RN SEEDGWAS2920.RN
SEEDGWAS2922.RN SEEDGWAS2922.RN
SEEDGWAS2923.RN SEEDGWAS2923.RN
SEEDGWAS2926.RN SEEDGWAS2926.RN
SEEDGWAS2940.RN SEEDGWAS2940.RN
SEEDGWAS2949.RN SEEDGWAS2949.RN
SEEDGWAS2953.RN SEEDGWAS2953.RN
SEEDGWAS2955.RN SEEDGWAS2955.RN
SEEDGWAS2962.RN SEEDGWAS2962.RN
SEEDGWAS2970.RN SEEDGWAS2970.RN
SEEDGWAS2971.RN SEEDGWAS2971.RN
SEEDGWAS2993.RN SEEDGWAS2993.RN
SEEDGWAS3.RN SEEDGWAS3.RN
SEEDGWAS3044.RN SEEDGWAS3044.RN
SEEDGWAS3049.RN SEEDGWAS3049.RN
SEEDGWAS3051.RN SEEDGWAS3051.RN
SEEDGWAS3052.RN SEEDGWAS3052.RN
SEEDGWAS3070.RN SEEDGWAS3070.RN
SEEDGWAS3074.RN SEEDGWAS3074.RN
SEEDGWAS3078.RN SEEDGWAS3078.RN
SEEDGWAS3093.RN SEEDGWAS3093.RN
SEEDGWAS3108.RN SEEDGWAS3108.RN
SEEDGWAS3112.RN SEEDGWAS3112.RN
SEEDGWAS3113.RN SEEDGWAS3113.RN
SEEDGWAS3123.RN SEEDGWAS3123.RN
SEEDGWAS3155.RN SEEDGWAS3155.RN
SEEDGWAS3173.RN SEEDGWAS3173.RN
SEEDGWAS3194.RN SEEDGWAS3194.RN
SEEDGWAS3199.RN SEEDGWAS3199.RN
SEEDGWAS3226.RN SEEDGWAS3226.RN
SEEDGWAS3231.RN SEEDGWAS3231.RN
SEEDGWAS3332.RN SEEDGWAS3332.RN
SEEDGWAS3333.RN SEEDGWAS3333.RN
SEEDGWAS3346.RN SEEDGWAS3346.RN
SEEDGWAS3347.RN SEEDGWAS3347.RN
SEEDGWAS3348.RN SEEDGWAS3348.RN
SEEDGWAS3384.RN SEEDGWAS3384.RN
SEEDGWAS3390.RN SEEDGWAS3390.RN
SEEDGWAS3399.RN SEEDGWAS3399.RN
SEEDGWAS3407.RN SEEDGWAS3407.RN
SEEDGWAS3408.RN SEEDGWAS3408.RN
SEEDGWAS3414.RN SEEDGWAS3414.RN
SEEDGWAS3415.RN SEEDGWAS3415.RN
SEEDGWAS3416.RN SEEDGWAS3416.RN
SEEDGWAS3437.RN SEEDGWAS3437.RN
SEEDGWAS3438.RN SEEDGWAS3438.RN
SEEDGWAS3450.RN SEEDGWAS3450.RN
SEEDGWAS3457.RN SEEDGWAS3457.RN
SEEDGWAS3465.RN SEEDGWAS3465.RN
SEEDGWAS3469.RN SEEDGWAS3469.RN
SEEDGWAS3470.RN SEEDGWAS3470.RN
SEEDGWAS3472.RN SEEDGWAS3472.RN
SEEDGWAS3473.RN SEEDGWAS3473.RN
SEEDGWAS3477.RN SEEDGWAS3477.RN
SEEDGWAS3489.RN SEEDGWAS3489.RN
SEEDGWAS3490.RN SEEDGWAS3490.RN
SEEDGWAS3495.RN SEEDGWAS3495.RN
SEEDGWAS3496.RN SEEDGWAS3496.RN
SEEDGWAS3497.RN SEEDGWAS3497.RN
SEEDGWAS350.RN SEEDGWAS350.RN
SEEDGWAS3503.RN SEEDGWAS3503.RN
SEEDGWAS3526.RN SEEDGWAS3526.RN
SEEDGWAS3562.RN SEEDGWAS3562.RN
SEEDGWAS3571.RN SEEDGWAS3571.RN
SEEDGWAS3572.RN SEEDGWAS3572.RN
SEEDGWAS3575.RN SEEDGWAS3575.RN
SEEDGWAS3579.RN SEEDGWAS3579.RN
SEEDGWAS3586.RN SEEDGWAS3586.RN
SEEDGWAS3591.RN SEEDGWAS3591.RN
SEEDGWAS3609.RN SEEDGWAS3609.RN
SEEDGWAS3618.RN SEEDGWAS3618.RN
SEEDGWAS3625.RN SEEDGWAS3625.RN
SEEDGWAS3639.RN SEEDGWAS3639.RN
SEEDGWAS3640.RN SEEDGWAS3640.RN
SEEDGWAS3641.RN SEEDGWAS3641.RN
SEEDGWAS3686.RN SEEDGWAS3686.RN
SEEDGWAS3699.RN SEEDGWAS3699.RN
SEEDGWAS3701.RN SEEDGWAS3701.RN
SEEDGWAS3702.RN SEEDGWAS3702.RN
SEEDGWAS3704.RN SEEDGWAS3704.RN
SEEDGWAS3708.RN SEEDGWAS3708.RN
SEEDGWAS3709.RN SEEDGWAS3709.RN
SEEDGWAS3716.RN SEEDGWAS3716.RN
SEEDGWAS3720.RN SEEDGWAS3720.RN
SEEDGWAS3721.RN SEEDGWAS3721.RN
SEEDGWAS3726.RN SEEDGWAS3726.RN
SEEDGWAS3729.RN SEEDGWAS3729.RN
SEEDGWAS3736.RN SEEDGWAS3736.RN
SEEDGWAS3751.RN SEEDGWAS3751.RN
SEEDGWAS3756.RN SEEDGWAS3756.RN
SEEDGWAS3762.RN SEEDGWAS3762.RN
SEEDGWAS3780.RN SEEDGWAS3780.RN
SEEDGWAS3782.RN SEEDGWAS3782.RN
SEEDGWAS3786.RN SEEDGWAS3786.RN
SEEDGWAS3793.RN SEEDGWAS3793.RN
SEEDGWAS3795.RN SEEDGWAS3795.RN
SEEDGWAS3798.RN SEEDGWAS3798.RN
SEEDGWAS3800.RN SEEDGWAS3800.RN
SEEDGWAS3801.RN SEEDGWAS3801.RN
SEEDGWAS3803.RN SEEDGWAS3803.RN
SEEDGWAS3805.RN SEEDGWAS3805.RN
SEEDGWAS3810.RN SEEDGWAS3810.RN
SEEDGWAS3813.RN SEEDGWAS3813.RN
SEEDGWAS3821.RN SEEDGWAS3821.RN
SEEDGWAS3827.RN SEEDGWAS3827.RN
SEEDGWAS3832.RN SEEDGWAS3832.RN
SEEDGWAS3872.RN SEEDGWAS3872.RN
SEEDGWAS3880.RN SEEDGWAS3880.RN
SEEDGWAS3885.RN SEEDGWAS3885.RN
SEEDGWAS3886.RN SEEDGWAS3886.RN
SEEDGWAS3892.RN SEEDGWAS3892.RN
SEEDGWAS3893.RN SEEDGWAS3893.RN
SEEDGWAS3900.RN SEEDGWAS3900.RN
SEEDGWAS3901.RN SEEDGWAS3901.RN
SEEDGWAS3908.RN SEEDGWAS3908.RN
SEEDGWAS3913.RN SEEDGWAS3913.RN
SEEDGWAS3914.RN SEEDGWAS3914.RN
SEEDGWAS3923.RN SEEDGWAS3923.RN
SEEDGWAS3927.RN SEEDGWAS3927.RN
SEEDGWAS3935.RN SEEDGWAS3935.RN
SEEDGWAS3936.RN SEEDGWAS3936.RN
SEEDGWAS3938.RN SEEDGWAS3938.RN
SEEDGWAS3939.RN SEEDGWAS3939.RN
SEEDGWAS3961.RN SEEDGWAS3961.RN
SEEDGWAS3964.RN SEEDGWAS3964.RN
SEEDGWAS3972.RN SEEDGWAS3972.RN
SEEDGWAS3983.RN SEEDGWAS3983.RN
SEEDGWAS3988.RN SEEDGWAS3988.RN
SEEDGWAS3993.RN SEEDGWAS3993.RN
SEEDGWAS3997.RN SEEDGWAS3997.RN
SEEDGWAS4006.RN SEEDGWAS4006.RN
SEEDGWAS4025.RN SEEDGWAS4025.RN
SEEDGWAS4044.RN SEEDGWAS4044.RN
SEEDGWAS4051.RN SEEDGWAS4051.RN
SEEDGWAS4052.RN SEEDGWAS4052.RN
SEEDGWAS4054.RN SEEDGWAS4054.RN
SEEDGWAS4058.RN SEEDGWAS4058.RN
SEEDGWAS4066.RN SEEDGWAS4066.RN
