Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
12S000301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0650377849482627,33.0701589150592,-21.6320281454441,54.5985792581556,-10.3646714190521,-14.1534701314482,-6.44254616508591,6.8905887127126,-0.10101247066742,6.35333582296752,12.6577202234729
12S000401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0360319234926785,31.6526933582164,-21.5973020250579,52.6003654386617,-10.3219973508943,-15.2279445175026,-7.31992264036314,8.69630853402194,1.24290706288882,6.4804240718875,13.0542706410246
12S001101.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0128090479721001,32.8815363562707,-22.926855928649,53.6639036825592,-11.3387077311622,-12.375500567535,-7.10027214958746,8.20603746953548,0.850986754561745,4.91660864970434,13.9872110683193
12S001301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0661798185525753,33.6974391023024,-21.8440529764402,52.8830971729708,-9.59315371879617,-13.3558713919167,-5.03261547387161,9.82176115467006,0.0285590518761539,5.45146045008681,14.8944609406422
12S001401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102538883913635,32.5651147922377,-23.782813060361,51.8507932091256,-11.0440134753166,-13.9656857757714,-7.69242373848013,5.93472081360463,0.983821641979138,7.02354036302305,17.422459531488
12S002101.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0116742539198409,-30.4377087826752,-5.72011707548784,-3.02791957213916,13.106799182649,-6.76261645802046,-2.56587737363633,-5.99532501059563,-0.719398488609487,10.6074090990321,0.150631773453879
12S002201.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125720786904218,-27.7109168150509,-5.43110847161186,-0.247241040731781,12.6123219967311,-7.01021416671791,-4.28926108292138,-5.97440735029796,-1.34133961401128,12.5756352520592,0.59289096926823
12S002301.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126857050557591,-28.8118904418817,-3.33783851061102,0.370612568621692,12.8784612935396,-8.97277012154968,-4.12971477448402,-3.41791601139102,-0.133421604390138,12.4553819328105,0.294143449809092
12S002401.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121310336224871,-28.5538737697438,-4.44854788546424,-1.13143916838243,12.7232109339179,-8.31461018027349,-4.4628607024301,-5.54237294061068,-1.28286290307592,13.214429624187,0.285695159918469
12S002901.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107359542620785,-28.6246461107419,-5.59108407697287,0.913098712718827,11.6237820100691,-9.81479263737117,-4.91645555644737,-5.91314553567396,-0.372002680407818,13.4504680079485,-0.176992302455614
12S003301.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0128403054517518,34.7935829508391,-22.2891488719768,53.0573555633507,-10.2461383764903,-9.96147948724421,-4.51386153757868,7.70898478598525,2.52478135336161,6.34371917538224,24.8483093934558
12S003501.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0139628104204337,33.8038343808258,-21.7837709370548,51.0507421029283,-8.07275520176761,-10.3083801878112,-5.48268504952792,6.66086820116964,-0.213360632015549,5.28530779075162,22.5063056368624
12S003601.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0109139347303969,33.0555467531356,-21.2589552529448,52.5150368059344,-8.01598141095049,-10.968835757474,-5.39629134472013,7.35171859593907,1.40547378645658,5.09915357643453,24.9926153938916
12S003701.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00978999074603797,33.211706088819,-21.5503769561799,52.8995178933932,-8.55957416240729,-12.9895620075475,-4.2149581436219,5.5089087674424,1.74526047139637,4.65539872381669,24.2235727051145
12S004001.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0129081051820165,34.3205311348332,-21.3768091754971,51.6687705751336,-9.69516879501531,-10.2014249868955,-4.43306641355068,6.14818383913412,0.55933406505405,4.62881714556797,26.2255844461432
12S004201.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0155628591666473,33.7953971029072,-22.4426036670931,51.0629703623906,-8.80230053245672,-12.2679899078737,-2.85542599253991,6.25064479582628,0.816393247356712,5.08024485772076,23.6130392224786
12S004501.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.0147678699767045,35.4245843347491,-20.0904448802473,51.7121181494879,-7.56574085868635,-13.6468487581344,-2.73664185054721,5.87413618844556,-0.444647822191869,4.26311906771036,21.8838939511719
