Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
12S000301.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0569278481354053,0.0204134,-0.0468987,0.00276337,0.00480092,0.0269855,0.00383521,-0.0155749,-0.0185323,-0.00967413,0.0110278
12S000301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0650377849482627,0.0208612,-0.048268,0.00259342,0.00568802,0.0289175,0.00289611,-0.0168723,-0.0210473,-0.00905925,0.011072
12S000401.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Ambiguous,Neither,0.0268531487732193,0.0173009,-0.0439654,0.00206411,0.0043387,0.0262571,0.00460018,-0.0144489,-0.013582,-0.012675,0.0156012
12S000401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0360319234926785,0.0183976,-0.0451492,0.00282005,0.0042148,0.0268293,0.00493071,-0.0161266,-0.0165977,-0.00970513,0.0142147
12S001101.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0128090479721001,0.0198168,-0.0478184,0.00318182,0.00621275,0.0292247,0.00339865,-0.0182961,-0.0255128,-0.0174411,0.011305
12S001301.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0575312076575033,0.018359,-0.0432485,0.00191424,0.00676429,0.0229364,0.00379192,-0.0145674,-0.017054,-0.0155219,0.0165717
12S001301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0661798185525753,0.0190365,-0.0449272,0.00207633,0.00753028,0.0236882,0.00367943,-0.0151458,-0.0180301,-0.0112902,0.0161666
12S001401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102538883913635,0.0196265,-0.0467754,0.00312786,0.0050897,0.0283987,0.00257728,-0.0179146,-0.0217812,-0.0167068,0.0147984
12S002101.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0116742539198409,-0.0106268,0.000410987,-0.0134403,-0.00147313,0.000704985,-0.010183,-0.0167847,0.00628504,0.015919,0.0215248
12S002201.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125720786904218,-0.00999264,0.000340374,-0.0131929,-0.00280248,0.00161499,-0.0110924,-0.0178638,0.00670165,0.0123113,0.0236477
12S002301.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126857050557591,-0.00983596,-6.5131e-05,-0.0129504,-0.00233735,-0.000378931,-0.0089174,-0.017611,0.00644071,0.00921231,0.0199933
12S002401.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121310336224871,-0.010724,-4.62784e-05,-0.0132927,-0.00377338,-0.000921363,-0.0108276,-0.0208634,0.00578601,0.0115621,0.0191858
12S002901.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107359542620785,-0.0102017,-0.00120666,-0.0131255,-0.00337686,0.00278965,-0.0119046,-0.0208351,0.00523312,0.0159186,0.020545
12S003301.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0128403054517518,0.020706,-0.0452563,0.00337428,0.0126069,0.0286288,0.00056241,-0.0186997,-0.0300218,-0.0239744,0.0169787
12S003501.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0139628104204337,0.020542,-0.0444906,0.00147428,0.0115982,0.029242,-0.00133409,-0.0177117,-0.0312658,-0.0197112,0.0159128
12S003601.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0109139347303969,0.0197757,-0.0452564,0.00159865,0.00921832,0.0288464,-0.00194679,-0.0170446,-0.0297042,-0.0217866,0.0173373
12S003701.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00978999074603797,0.0184668,-0.0418612,0.000204176,0.0114151,0.0297635,0.000906456,-0.014895,-0.0266612,-0.0240846,0.0193305
12S004001.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0129081051820165,0.0201222,-0.0441288,0.00234374,0.0100836,0.0277292,-0.00140839,-0.016666,-0.03058,-0.0261379,0.0188068
12S004201.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0155628591666473,0.0200287,-0.044165,0.00164394,0.0103581,0.0277209,-1.60425e-05,-0.0157062,-0.0297511,-0.0264131,0.0193561
12S004501.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.0147678699767045,0.0204613,-0.0438013,0.000471727,0.00847269,0.0289063,0.00211562,-0.0132044,-0.0276894,-0.0223983,0.016935
12S004801.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.014472769923283,0.0204671,-0.0448985,0.00158641,0.0101724,0.0285856,-0.000595711,-0.0165172,-0.0289266,-0.0276697,0.016947
12S004901.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0118840067285376,0.0204304,-0.0446523,0.00141781,0.0108141,0.0269853,-0.00112079,-0.0194537,-0.0301536,-0.0262784,0.0183227
12S005001.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0127217315276466,0.0203899,-0.0440586,0.00198591,0.00794507,0.0280546,-0.000282229,-0.015534,-0.0272005,-0.0230603,0.0154979
12S005201.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0147790212674475,-0.00444909,-0.0106961,-0.00863847,-0.00819368,0.000144646,-0.00148501,-0.0206479,0.00410771,0.0150318,0.0080406
12S005401.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0134823260695416,-0.00394767,-0.0109371,-0.00920674,-0.00843841,0.00219049,-0.00233739,-0.0223436,0.00813254,0.0210349,0.0105363
12S005501.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125353491279768,-0.00292393,-0.0128529,-0.00706915,-0.00776079,0.00128671,-0.00127826,-0.019182,0.00869337,0.011819,0.0124386
12S006001.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0132133060543752,-0.00203898,-0.0166544,-0.00470614,-0.0156972,0.000191516,-0.00220505,-0.0191166,0.0090372,0.0207561,0.00262768
12S006101.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0137830926701097,-0.00110714,-0.0174712,-0.00732289,-0.00963101,0.00570647,-0.000598518,-0.0211926,0.00611945,0.0148547,0.00799607
12S006901.SW,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.105261023640906,0.013158,-0.0328258,-0.00400705,0.0211139,0.00468617,-0.00941861,0.0107013,-0.00581288,-0.00265016,0.0139164
12S007001.SW,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0123170746893328,0.0135612,-0.0316479,-0.00462902,0.0197709,0.00525838,-0.0105516,0.0090483,-0.0111035,-0.0122056,0.00488293
12S007301.SW,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.085278292337849,0.0133545,-0.0320994,-0.00490783,0.0204491,0.00373586,-0.0105289,0.00955178,-0.00689341,-0.0038523,0.0119946
12S007701.SW,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0374422185108395,0.0137359,-0.0319513,-0.00440336,0.0218181,0.00511753,-0.00925756,0.0112748,-0.00788971,-0.0041794,0.0101374
12S007801.SW,Swarts_etal_2017,PI_213714:Papago,US - Desert SW,Landrace,Unknown,Unknown,32.2217,-110.9264,701,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0358970531024993,0.0137275,-0.0313277,-0.00360373,0.021166,0.00625265,-0.0115801,0.0128608,-0.00618884,-0.0073789,0.0120702
12S008101.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0141914409676843,0.00382153,-0.0297231,0.00274658,-0.0238213,0.00741188,0.000352732,-0.0116778,0.00501236,0.0209823,-0.0209826
12S008401.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0124598235041674,0.00310655,-0.0301894,0.00386777,-0.0260893,0.00714591,0.000855549,-0.0112283,0.00493238,0.0201552,-0.0210014
12S008701.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125548649440139,0.00175424,-0.0280844,0.00268733,-0.0290879,0.00549478,-0.00139598,-0.0097312,0.00625035,0.0208294,-0.023943
12S008801.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0131949849091182,0.0034022,-0.0299872,0.00218376,-0.0248949,0.00784883,-0.00101008,-0.0110296,0.00459965,0.0223874,-0.0237612
12S009501.SW,Swarts_etal_2017,PI_213728:Apache,US - Athabaskan,Landrace,Unknown,Unknown,33.22,110.25,1067,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0127714222622281,0.00264846,-0.0298276,0.0017314,-0.0265949,0.00629722,-0.000317558,-0.00847536,0.00460948,0.0195122,-0.0180298
12S009801.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0143034004594978,0.0134681,-0.0370747,0.00306026,-0.00219485,0.0168798,0.00120676,-0.0147609,-0.0159218,-0.00926987,0.00459132
12S009901.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0130194191156719,0.0194461,-0.0417753,0.00170123,0.00903902,0.0284655,-0.000106309,-0.0155423,-0.0267481,-0.0139851,0.0174611
12S010201.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.012952266056127,0.0135468,-0.0354218,0.00204065,-0.000584696,0.0186634,-0.00114973,-0.0123025,-0.0148539,-0.0133111,0.00633777
12S010401.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0151160153161321,0.0196091,-0.0425064,0.000873555,0.0081796,0.0247162,0.00119337,-0.0141636,-0.0270389,-0.020272,0.0188196
12S011001.SW,Swarts_etal_2017,PI_218131:Cochiti,US - Puebloan (East),Landrace,Unknown,Unknown,35.608,-106.347,1606,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0123237397431235,0.0189173,-0.0432316,0.00145998,0.00797862,0.0257107,0.00204215,-0.0172153,-0.0278277,-0.0211329,0.0168325
12S011401.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.014071342985953,0.0202698,-0.0413428,0.00196556,0.0108052,0.0256315,-0.000219401,-0.0161654,-0.0275345,-0.0250179,0.0162924
12S011601.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0139147339224399,0.0198592,-0.0437105,0.00275612,0.0106695,0.0293133,0.000422793,-0.0149575,-0.0297132,-0.0250561,0.0182677
12S011701.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126687958370982,0.0201475,-0.0434957,0.00222581,0.0091728,0.0279552,0.000844787,-0.0163881,-0.0305925,-0.0217805,0.0176662
12S012401.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.010537231326075,0.0181579,-0.0387837,-0.000287731,0.00774716,0.0236316,0.00229473,-0.0143942,-0.0246492,-0.0220415,0.0226081
12S012501.SW,Swarts_etal_2017,PI_218133:New_Mexico_Mesita,US - Puebloan (East),Landrace,Unknown,Unknown,35.00605,-107.3167,1728,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0117109242499848,0.0202212,-0.0425304,0.00273835,0.00853221,0.0268186,0.000508689,-0.0149246,-0.025822,-0.021056,0.0141957
12S012601.SW,Swarts_etal_2017,PI_218134:Tesuque,US - Puebloan (East),Landrace,Unknown,Unknown,35.74607,-105.9221,2060,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0156707587044441,0.0136668,-0.0537286,0.0115566,-0.036676,0.0153436,0.0258346,-0.0325638,0.0314784,0.0483801,-0.0665904
