Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
12S000301.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0569278481354053,0.0206968,-0.0470227,0.00245237,0.00362335,-0.0259356,0.00687448,-0.0175861,-0.020093,-0.0181938,0.00211194
12S000301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0650377849482627,0.0210245,-0.0482855,0.00217676,0.00513092,-0.0275567,0.00610898,-0.0182227,-0.0228409,-0.0173595,0.00311854
12S000401.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Ambiguous,Neither,0.0268531487732193,0.0174185,-0.0432519,0.00128387,0.00383281,-0.0235983,0.00823568,-0.0157486,-0.014114,-0.0197661,0.00727943
12S000401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0360319234926785,0.0188358,-0.0451751,0.00287424,0.00362652,-0.0243468,0.00774251,-0.017809,-0.0175063,-0.0164423,0.00531493
12S001101.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0128090479721001,0.0204343,-0.0479508,0.00299854,0.00670464,-0.0267193,0.0062527,-0.0159229,-0.0252583,-0.0191769,0.00682633
12S001301.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0575312076575033,0.0188745,-0.0432796,0.00190336,0.00479283,-0.0216848,0.00605071,-0.0135296,-0.0196076,-0.0282334,0.00769103
12S001301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0661798185525753,0.019609,-0.0447984,0.00213357,0.00589443,-0.022621,0.00587278,-0.0150325,-0.0217949,-0.0233299,0.0084768
12S001401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102538883913635,0.0200268,-0.0463524,0.00253506,0.00575557,-0.025819,0.00559965,-0.0157505,-0.0229608,-0.0200792,0.0101024
12S002101.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0116742539198409,-0.0107818,0.000254012,-0.0136219,-0.00105835,-0.00179475,-0.00951046,-0.0180213,0.00441893,0.0119555,0.0239111
12S002201.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125720786904218,-0.00999113,-0.00018693,-0.0136539,-0.00238666,-0.00327911,-0.0107342,-0.0180294,0.00503979,0.00786761,0.0254187
12S002301.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126857050557591,-0.00972837,-0.000282903,-0.0131437,-0.00155261,-0.000196568,-0.00868249,-0.0185228,0.00516131,0.00605073,0.0209893
12S002401.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121310336224871,-0.0107575,0.000165358,-0.0132863,-0.00249247,-0.000154923,-0.0105655,-0.0211839,0.00464683,0.00822518,0.0208169
12S002901.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107359542620785,-0.00990406,-0.00115716,-0.0132082,-0.00248903,-0.00324994,-0.0109362,-0.0222518,0.00469773,0.0114912,0.0237627
12S003301.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0128403054517518,0.0215213,-0.0457704,0.00278049,0.0138546,-0.025378,0.00283584,-0.0147872,-0.0320425,-0.0296424,0.0166402
12S003501.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0139628104204337,0.0210788,-0.0446613,0.00124655,0.0130633,-0.0271519,0.00207126,-0.0143498,-0.0311648,-0.023272,0.0144493
12S003601.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0109139347303969,0.0204652,-0.0458849,0.00112296,0.0114337,-0.026408,0.000815206,-0.01327,-0.0303755,-0.0259757,0.0154467
12S003701.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00978999074603797,0.0193868,-0.0421756,0.000130599,0.0127766,-0.0260549,0.00395493,-0.0107243,-0.026602,-0.0268017,0.0164148
12S004001.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0129081051820165,0.0207732,-0.044475,0.00189683,0.0118908,-0.0256312,0.00191852,-0.013556,-0.0305226,-0.0300461,0.0166958
12S004201.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0155628591666473,0.0204552,-0.0443638,0.00105952,0.0126399,-0.0259912,0.00247678,-0.0119065,-0.029955,-0.0315128,0.0168159
12S004501.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.0147678699767045,0.0209685,-0.043942,0.000162202,0.00970622,-0.0264002,0.00363596,-0.0103462,-0.0296835,-0.0294986,0.0149308
12S004801.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ab10-I,NA,No,Neither,0.014472769923283,0.0211224,-0.0450197,0.00113153,0.011695,-0.0266384,0.00222911,-0.0122123,-0.0304556,-0.0323048,0.0154178
12S004901.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0118840067285376,0.0209455,-0.0449331,0.000505662,0.0130398,-0.0252554,0.00213738,-0.0163091,-0.0312876,-0.0306154,0.0148498
12S005001.SW,Swarts_etal_2017,NSL_68332:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0127217315276466,0.0206046,-0.044517,0.00118964,0.00996542,-0.0269077,0.00291242,-0.012633,-0.0272209,-0.0276302,0.0122304
12S005201.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0147790212674475,-0.00427092,-0.0107908,-0.0090033,-0.00837463,-0.000439919,-0.00135661,-0.0207615,0.004274,0.0154541,0.00995224
12S005401.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0134823260695416,-0.00375992,-0.0106831,-0.00951968,-0.00732442,-0.00205455,-0.00172359,-0.0236506,0.00683699,0.0188922,0.0144655
12S005501.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125353491279768,-0.00294203,-0.0124838,-0.00854984,-0.0068079,-0.00183793,-0.000462542,-0.0195968,0.00821119,0.0102937,0.0151742
12S006001.SW,Swarts_etal_2017,NSL_68335:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0132133060543752,-0.00163407,-0.0172637,-0.00512589,-0.014205,-0.000518999,-0.00125494,-0.0206248,0.00803542,0.020674,0.0067092
