Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
12S000301.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0569278481354053,0.0206031,-0.0469245,0.00238391,0.0042798,-0.0261479,0.00675494,-0.016845,-0.0166572,-0.00811662,0.0109887
12S000301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0650377849482627,0.0209848,-0.0483451,0.0021401,0.00512583,-0.0275479,0.00631797,-0.0178304,-0.0194453,-0.0072439,0.0110892
12S000401.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Ambiguous,Neither,0.0268531487732193,0.0177888,-0.04378,0.00129167,0.00389817,-0.0235907,0.00786812,-0.0149221,-0.0126614,-0.0108133,0.0157928
12S000401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0360319234926785,0.0189494,-0.0454077,0.00267933,0.00377636,-0.0247196,0.0081797,-0.0163813,-0.0151992,-0.00836224,0.0138912
12S001101.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0128090479721001,0.0201826,-0.0476787,0.00296992,0.00578989,-0.0276348,0.00638381,-0.0191211,-0.0241843,-0.0156937,0.0115069
12S001301.RN,Romero-Navarro_etal_2017,NA,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0575312076575033,0.0189069,-0.0433253,0.00157425,0.00616703,-0.0220773,0.00592495,-0.0137325,-0.0168219,-0.0152372,0.0183635
12S001301.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,Yes,High,0.0661798185525753,0.0197491,-0.0450792,0.00176924,0.00693425,-0.0225007,0.00625207,-0.0148181,-0.0178883,-0.0108562,0.0177804
12S001401.SW,Swarts_etal_2017,Ames_22643:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0102538883913635,0.0198308,-0.046201,0.00292027,0.00474371,-0.0266696,0.00606354,-0.0179208,-0.0217667,-0.0154764,0.0158354
12S002101.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0116742539198409,-0.0109466,0.000321429,-0.0135797,-0.00102072,-0.00146497,-0.00942844,-0.0164292,0.00636129,0.0163107,0.0197748
12S002201.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0125720786904218,-0.0101157,0.000141475,-0.0132978,-0.002181,-0.00264906,-0.0108541,-0.0176584,0.00678663,0.0129499,0.022794
12S002301.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0126857050557591,-0.00980008,-0.000269758,-0.0133091,-0.00199801,-0.000228217,-0.00880454,-0.0170004,0.00671314,0.0100486,0.0189412
12S002401.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0121310336224871,-0.0108206,0.000186589,-0.0135294,-0.00310873,1.92204e-06,-0.0109617,-0.02024,0.00628315,0.0120699,0.0182064
12S002901.SW,Swarts_etal_2017,NSL_67049:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0107359542620785,-0.0100451,-0.00121393,-0.0131315,-0.00295588,-0.00356796,-0.0120535,-0.0211712,0.0069305,0.0162159,0.0196007
12S003301.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0128403054517518,0.0213328,-0.0454703,0.0027677,0.0131601,-0.0270025,0.00278859,-0.0186947,-0.0302275,-0.02333,0.0216241
12S003501.SW,Swarts_etal_2017,NSL_68330:Hopi,US - Puebloan (West),Landrace,Unknown,Unknown,35.7833,-110.5035,1727,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0139628104204337,0.0210406,-0.0445969,0.00127892,0.0117887,-0.0284585,0.00173527,-0.0183125,-0.0307045,-0.0187042,0.0195342
