Name,KMeans_Ab10,KMeans_BChrom,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,elev,srad,wind,vapr,sq1_simp,sq2_simp,sq3_simp,sq4_simp,sq5_simp,sq6_simp,S3_5366715,S3_5366738,S3_211286197,S4_248470517,S6_124809142
12S000301.SW,0,1,0.0210245,-0.0482855,0.00217676,0.00513092,-0.0275567,0.00610898,-0.0182227,-0.0228409,-0.0173595,0.00311854,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,1,1,1,0,2
12S000401.SW,0,1,0.0188358,-0.0451751,0.00287424,0.00362652,-0.0243468,0.00774251,-0.017809,-0.0175063,-0.0164423,0.00531493,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,1,1,0,2
12S001101.SW,0,0,0.0204343,-0.0479508,0.00299854,0.00670464,-0.0267193,0.0062527,-0.0159229,-0.0252583,-0.0191769,0.00682633,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,1,0,0,0,0
12S001301.SW,1,1,0.019609,-0.0447984,0.00213357,0.00589443,-0.022621,0.00587278,-0.0150325,-0.0217949,-0.0233299,0.0084768,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,1,1,0,0
12S001401.SW,0,0,0.0200268,-0.0463524,0.00253506,0.00575557,-0.025819,0.00559965,-0.0157505,-0.0229608,-0.0200792,0.0101024,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,1,0,0,0,0
12S002101.SW,0,0,-0.0107818,0.000254012,-0.0136219,-0.00105835,-0.00179475,-0.00951046,-0.0180213,0.00441893,0.0119555,0.0239111,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S002201.SW,0,0,-0.00999113,-0.00018693,-0.0136539,-0.00238666,-0.00327911,-0.0107342,-0.0180294,0.00503979,0.00786761,0.0254187,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,1,0,0,0,0
12S002301.SW,0,0,-0.00972837,-0.000282903,-0.0131437,-0.00155261,-0.000196568,-0.00868249,-0.0185228,0.00516131,0.00605073,0.0209893,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,2,0,0,1,0
12S002401.SW,0,0,-0.0107575,0.000165358,-0.0132863,-0.00249247,-0.000154923,-0.0105655,-0.0211839,0.00464683,0.00822518,0.0208169,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,1,0,0
12S002901.SW,0,0,-0.00990406,-0.00115716,-0.0132082,-0.00248903,-0.00324994,-0.0109362,-0.0222518,0.00469773,0.0114912,0.0237627,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S003301.SW,1,0,0.0215213,-0.0457704,0.00278049,0.0138546,-0.025378,0.00283584,-0.0147872,-0.0320425,-0.0296424,0.0166402,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S003501.SW,0,0,0.0210788,-0.0446613,0.00124655,0.0130633,-0.0271519,0.00207126,-0.0143498,-0.0311648,-0.023272,0.0144493,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,1,0,0,0,0
12S003601.SW,0,0,0.0204652,-0.0458849,0.00112296,0.0114337,-0.026408,0.000815206,-0.01327,-0.0303755,-0.0259757,0.0154467,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,1,0,0,0,0
12S003701.SW,0,0,0.0193868,-0.0421756,0.000130599,0.0127766,-0.0260549,0.00395493,-0.0107243,-0.026602,-0.0268017,0.0164148,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S004001.SW,0,0,0.0207732,-0.044475,0.00189683,0.0118908,-0.0256312,0.00191852,-0.013556,-0.0305226,-0.0300461,0.0166958,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S004201.SW,0,0,0.0204552,-0.0443638,0.00105952,0.0126399,-0.0259912,0.00247678,-0.0119065,-0.029955,-0.0315128,0.0168159,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S004501.SW,1,0,0.0209685,-0.043942,0.000162202,0.00970622,-0.0264002,0.00363596,-0.0103462,-0.0296835,-0.0294986,0.0149308,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S004801.SW,1,0,0.0211224,-0.0450197,0.00113153,0.011695,-0.0266384,0.00222911,-0.0122123,-0.0304556,-0.0323048,0.0154178,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,1,1,0
12S004901.SW,0,0,0.0209455,-0.0449331,0.000505662,0.0130398,-0.0252554,0.00213738,-0.0163091,-0.0312876,-0.0306154,0.0148498,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S005001.SW,0,0,0.0206046,-0.044517,0.00118964,0.00996542,-0.0269077,0.00291242,-0.012633,-0.0272209,-0.0276302,0.0122304,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,0,0,0,0,0
12S005201.SW,0,0,-0.00427092,-0.0107908,-0.0090033,-0.00837463,-0.000439919,-0.00135661,-0.0207615,0.004274,0.0154541,0.00995224,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,2,0,1,0,0
12S005401.SW,0,0,-0.00375992,-0.0106831,-0.00951968,-0.00732442,-0.00205455,-0.00172359,-0.0236506,0.00683699,0.0188922,0.0144655,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,2,0,0,0,0
12S005501.SW,0,0,-0.00294203,-0.0124838,-0.00854984,-0.0068079,-0.00183793,-0.000462542,-0.0195968,0.00821119,0.0102937,0.0151742,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,2,0,1,0,0
12S006001.SW,0,0,-0.00163407,-0.0172637,-0.00512589,-0.014205,-0.000518999,-0.00125494,-0.0206248,0.00803542,0.020674,0.0067092,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,2,0,1,0,0
12S006101.SW,0,0,-0.00110717,-0.0170817,-0.0080427,-0.00822538,-0.00540535,0.000609418,-0.0214959,0.0057963,0.0158607,0.0114103,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,Good,1,2,0,0,0,0
12S006901.SW,0,1,0.0131933,-0.0320115,-0.00375782,0.0208262,-0.00574948,-0.00855971,0.00985975,-0.00572406,-0.00987462,0.00822015,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,Good,1,0,1,0,1,1
12S007001.SW,0,0,0.0138287,-0.0312887,-0.00449905,0.0211774,-0.00516795,-0.00900506,0.0107082,-0.00839939,-0.0104635,0.00404261,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,Good,1,2,0,0,0,0
12S007301.SW,0,1,0.0133672,-0.0316084,-0.00442744,0.020354,-0.00500723,-0.00965172,0.00921814,-0.00702023,-0.0108446,0.00717101,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,Good,1,0,2,0,1,0
12S007701.SW,0,1,0.0139994,-0.0316715,-0.00433233,0.021961,-0.00653791,-0.0078324,0.0111383,-0.00676591,-0.0085731,0.00626362,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,Good,1,0,1,0,1,1
12S007801.SW,0,1,0.0137591,-0.0306293,-0.0035754,0.0210877,-0.00687467,-0.0101501,0.0125288,-0.00441869,-0.0115098,0.00702005,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,Good,1,1,1,0,1,0
12S008101.SW,0,0,0.00460142,-0.0309143,0.00163881,-0.0223988,-0.00671702,0.00116144,-0.0123345,0.00385323,0.0244062,-0.016244,23.34166718,2.383333445,859.75,162.5,10,69.4800415,410,36,382.75,36,9.714583397,30.14577484,843.1680298,28.625,-3.599999905,32.22499847,22.18333435,2.383333445,941.5,13775.5833333333,2.11875001591667,1.1227083555,1,1,2,1,Good,1,0,0,0,1,0
12S008401.SW,0,0,0.00387735,-0.0310968,0.00279833,-0.0250153,-0.0064678,0.00153991,-0.012038,0.00329389,0.0241636,-0.017765,23.34166718,2.383333445,859.75,162.5,10,69.4800415,410,36,382.75,36,9.714583397,30.14577484,843.1680298,28.625,-3.599999905,32.22499847,22.18333435,2.383333445,941.5,13775.5833333333,2.11875001591667,1.1227083555,1,1,2,1,Good,1,0,0,0,0,0
