Name,KMeans_Ab10,KMeans_BChrom,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,elev,srad,wind,vapr,sq1_simp,sq2_simp,sq3_simp,sq4_simp,sq5_simp,sq6_simp,S10_71197305,S10_71198303,S3_192484757,S3_192486778,S3_192562582,S4_193239638,S4_193239646,S4_193239658,S8_73817047,S9_29026157,S9_29026173
12S000301.SW,0,1,0.0208612,-0.048268,0.00259342,0.00568802,0.0289175,0.00289611,-0.0168723,-0.0210473,-0.00905925,0.011072,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1
12S000401.SW,0,1,0.0183976,-0.0451492,0.00282005,0.0042148,0.0268293,0.00493071,-0.0161266,-0.0165977,-0.00970513,0.0142147,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0
12S001101.SW,0,0,0.0198168,-0.0478184,0.00318182,0.00621275,0.0292247,0.00339865,-0.0182961,-0.0255128,-0.0174411,0.011305,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,0,0,2,2,2,0,0,0,0,1,0
12S001301.SW,1,1,0.0190365,-0.0449272,0.00207633,0.00753028,0.0236882,0.00367943,-0.0151458,-0.0180301,-0.0112902,0.0161666,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,0,0,1,0,2,0,0,0,0,1,1
12S001401.SW,0,0,0.0196265,-0.0467754,0.00312786,0.0050897,0.0283987,0.00257728,-0.0179146,-0.0217812,-0.0167068,0.0147984,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,0,0,2,0,2,1,NA,1,0,0,0
12S002101.SW,0,0,-0.0106268,0.000410987,-0.0134403,-0.00147313,0.000704985,-0.010183,-0.0167847,0.00628504,0.015919,0.0215248,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,2,2,1,2,2,0,0,0,1,1,0
12S002201.SW,0,0,-0.00999264,0.000340374,-0.0131929,-0.00280248,0.00161499,-0.0110924,-0.0178638,0.00670165,0.0123113,0.0236477,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,1,1,2,2,0,0,0,2,0,0
12S002301.SW,0,0,-0.00983596,-6.5131e-05,-0.0129504,-0.00233735,-0.000378931,-0.0089174,-0.017611,0.00644071,0.00921231,0.0199933,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,1,2,2,2,0,0,0,0,2,1
12S002401.SW,0,0,-0.010724,-4.62784e-05,-0.0132927,-0.00377338,-0.000921363,-0.0108276,-0.0208634,0.00578601,0.0115621,0.0191858,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,2,0,0,1,0,0,0,0,1,1
12S002901.SW,0,0,-0.0102017,-0.00120666,-0.0131255,-0.00337686,0.00278965,-0.0119046,-0.0208351,0.00523312,0.0159186,0.020545,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,2,0,0,1,0,0,0,1,1,1
12S003301.SW,1,0,0.020706,-0.0452563,0.00337428,0.0126069,0.0286288,0.00056241,-0.0186997,-0.0300218,-0.0239744,0.0169787,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,1,1,0,1,0,0,0,0,2,0
12S003501.SW,0,0,0.020542,-0.0444906,0.00147428,0.0115982,0.029242,-0.00133409,-0.0177117,-0.0312658,-0.0197112,0.0159128,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,1,2,2,2,1,0,1,0,2,0
12S003601.SW,0,0,0.0197757,-0.0452564,0.00159865,0.00921832,0.0288464,-0.00194679,-0.0170446,-0.0297042,-0.0217866,0.0173373,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,2,2,1,1,1,0,0,0,0,2,0
12S003701.SW,0,0,0.0184668,-0.0418612,0.000204176,0.0114151,0.0297635,0.000906456,-0.014895,-0.0266612,-0.0240846,0.0193305,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,0
12S004001.SW,0,0,0.0201222,-0.0441288,0.00234374,0.0100836,0.0277292,-0.00140839,-0.016666,-0.03058,-0.0261379,0.0188068,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,2,2,1,2,1,0,0,0,0,1,0
12S004201.SW,0,0,0.0200287,-0.044165,0.00164394,0.0103581,0.0277209,-1.60425e-05,-0.0157062,-0.0297511,-0.0264131,0.0193561,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,Good,1,1,1,1,1,1,0,1,0,2,0,0,0,0,0,0
