Name,KMeans_Ab10,KMeans_K10L2,KMeans_BChrom,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,tmin_01,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,elev,srad,wind,vapr,sq1_simp,sq2_simp,sq3_simp,sq4_simp,sq5_simp,sq6_simp,BChrom_Pseudo_Copy_Number,S2_90555553,S2_90555560,S3_5366738,S6_124809142
12S000301.SW,0,0,1,0.0210245,-0.0482855,0.00217676,0.00513092,-0.0275567,0.00610898,-0.0182227,-0.0228409,-0.0173595,0.00311854,-7.125,11.87395859,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,1,1,-1.18683425798376,2,2,1,2
12S000401.SW,0,0,1,0.0188358,-0.0451751,0.00287424,0.00362652,-0.0243468,0.00774251,-0.017809,-0.0175063,-0.0164423,0.00531493,-7.125,11.87395859,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,1,1,1,-1.44331255924844,1,1,1,2
12S006901.SW,0,0,1,0.0131933,-0.0320115,-0.00375782,0.0208262,-0.00574948,-0.00855971,0.00985975,-0.00572406,-0.00987462,0.00822015,4.300000191,20.98541641,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,2,1,-0.977732409395824,2,2,1,1
12S007301.SW,0,0,1,0.0133672,-0.0316084,-0.00442744,0.020354,-0.00500723,-0.00965172,0.00921814,-0.00702023,-0.0108446,0.00717101,4.300000191,20.98541641,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,2,1,-1.06916150651642,1,1,2,0
12S007701.SW,0,0,1,0.0139994,-0.0316715,-0.00433233,0.021961,-0.00653791,-0.0078324,0.0111383,-0.00676591,-0.0085731,0.00626362,4.300000191,20.98541641,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,2,1,-1.4266384208608,1,1,1,1
12S007801.SW,0,0,1,0.0137591,-0.0306293,-0.0035754,0.0210877,-0.00687467,-0.0101501,0.0125288,-0.00441869,-0.0115098,0.00702005,4.300000191,20.98541641,30.27083206,12.23750019,313.5,57,5,61.06216049,144.75,20,117.75,76.75,15.35000038,45.14706039,745.2995605,38.29999924,4.300000191,34,29.67499924,24.375,757.5,19324.5208333333,2.89166665083333,0.849166671333333,2,1,1,1,2,1,-1.44494120374404,1,1,1,0
12S013901.SW,0,0,1,0.0215284,-0.0447706,0.00307965,0.00864281,-0.0252623,0.00448096,-0.0135781,-0.0269368,-0.0187738,0.0112606,-13.30000019,3.648958206,12.38749981,-4.495833397,637.25,109.25,32.25,47.1579361,267.5,105,263,105.75,15.63541603,44.32399368,694.6364746,21.97500038,-13.30000019,35.27499771,11.97500038,-3.3125,2967.25,17917.875,5.10833338908333,0.4985416695,1,1,3,1,1,1,-1.22599608204629,2,2,0,1
12S014001.SW,0,0,1,0.0217749,-0.0440822,0.00264665,0.00861169,-0.0265264,0.00435771,-0.0136986,-0.0274229,-0.0154538,0.00899167,-13.30000019,3.648958206,12.38749981,-4.495833397,637.25,109.25,32.25,47.1579361,267.5,105,263,105.75,15.63541603,44.32399368,694.6364746,21.97500038,-13.30000019,35.27499771,11.97500038,-3.3125,2967.25,17917.875,5.10833338908333,0.4985416695,1,1,3,1,1,1,-1.46885841805359,1,1,1,0
12S014101.SW,0,0,1,0.0210624,-0.045588,0.00246336,0.00979762,-0.0266069,0.00434439,-0.0117746,-0.0281749,-0.0200612,0.0125968,-13.30000019,3.648958206,12.38749981,-4.495833397,637.25,109.25,32.25,47.1579361,267.5,105,263,105.75,15.63541603,44.32399368,694.6364746,21.97500038,-13.30000019,35.27499771,11.97500038,-3.3125,2967.25,17917.875,5.10833338908333,0.4985416695,1,1,3,1,1,1,-1.2693729275799,1,1,0,1
12S016201.SW,0,0,1,0.0151321,-0.0405223,0.00115743,-0.00658669,-0.0171021,0.00497977,-0.0112774,-0.0112924,-0.000488882,0.0032266,-12.64999962,7.715624809,17.88750076,-2.695833206,350.75,59,14.75,46.02882385,148,47.75,141.25,47.75,17.53541756,42.66473007,833.4454346,28.45000076,-12.64999962,41.09999847,17.38333321,-2.695833206,2185.25,18139.6666666667,3.92916665475,0.631875001,1,1,2,1,1,1,-1.14853756859933,1,1,0,0
