"","Variable","Beta","p","CDH"
"S4_2010582","S4_2010582",0.832705342521186,8.07962537031956e-06,"K10L2"
"S4_5674254","S4_5674254",1.17529604062854,2.69583153560119e-07,"K10L2"
"S5_190520703","S5_190520703",0.825570598956256,1.02818634401677e-06,"K10L2"
"S8_164038154","S8_164038154",-0.593693707826781,8.87867661807663e-09,"K10L2"
"vapr","vapr",-1.12948196771152,4.92893306364603e-10,"K10L2"
"sq3_simpOK","sq3_simpOK",0.621392363919495,0.00151963172538337,"K10L2"
"sq3_simpBad","sq3_simpBad",0.0106830560676317,0.964765855126246,"K10L2"
"sq4_simpBad","sq4_simpBad",0.674194264678086,0.00608723468602321,"K10L2"
"sq4_simpVery Bad","sq4_simpVery Bad",0.127398763279218,0.87690074306271,"K10L2"
"sq5_simpVery Bad","sq5_simpVery Bad",2.67854436764873,0.000199344260409549,"K10L2"
"PC2","PC2",109.124311149371,1.17673918120924e-15,"K10L2"
"PC3","PC3",-41.9901955585703,0.000202242930866576,"K10L2"
"PC6","PC6",-56.490454865456,0.000113198930707126,"K10L2"
"PC9","PC9",-22.6501281396822,0.00857741662164439,"K10L2"
"PC10","PC10",-30.207590812056,3.5654354666144e-05,"K10L2"
