KMeans_K10L2,KMeans_BChrom,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,elev,srad,wind,vapr,sq1_simp,sq2_simp,sq3_simp,sq4_simp,sq5_simp,sq6_simp,S2_243725576,S8_164038154
0,1,0.0250283,-0.0193181,-0.0335455,-0.0219338,-0.00557744,0.0145792,-0.00126448,-0.00502012,0.00978076,0.019786,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,1,0
0,1,0.0240933,-0.0193495,-0.0335205,-0.0208156,-0.00333956,0.0114275,-0.00172864,-0.00621301,0.0141042,0.0177129,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,0
0,0,0.0241831,-0.0176252,-0.0336222,-0.0227927,-0.00514108,0.0175444,-0.00219721,-0.00258409,0.0105216,0.0200802,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,NA
0,0,0.0240951,-0.0187488,-0.0326105,-0.0220419,-0.00533857,0.017856,-0.00215482,-0.00680485,0.0105106,0.0223471,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,0
0,0,-0.0126421,0.00412176,-0.00172795,-0.000604184,-0.0135264,-0.00202487,-0.00518875,0.00153276,0.000257848,-0.000168597,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,2
0,0,-0.0114615,0.00356674,-0.0017036,0.000264607,-0.0143951,-0.00132181,-0.00251443,-0.000615588,0.0012472,0.00163692,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,2
0,0,-0.0117358,0.00322831,-0.00167132,0.000582261,-0.0138505,-0.000934125,-0.00231257,0.000875853,-0.00290538,-0.00158208,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,0
0,0,-0.0123151,0.00291321,-0.00131316,0.000898474,-0.0139595,-0.000541495,-0.00483451,-0.000724895,-0.00274898,-0.00193765,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,NA
0,0,-0.0113852,0.00314176,-0.00282235,0.000946377,-0.0133552,-0.0044344,-0.00352222,0.00279094,-0.000873412,-4.39505e-05,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,2
0,0,0.0238431,-0.0135226,-0.0329998,-0.0211738,-0.00828974,0.0196347,0.00181282,0.00185584,0.00791164,0.0257437,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,NA
0,0,0.0239879,-0.0142894,-0.032941,-0.0205338,-0.00829875,0.0220602,-0.00181187,0.00226889,0.00236636,0.0294254,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,1
0,0,0.0226421,-0.013895,-0.0316019,-0.0201431,-0.008765,0.0190439,-0.00151828,0.00300912,0.00448694,0.0270823,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,NA
0,0,0.0237075,-0.0129298,-0.0313007,-0.0222463,-0.00639087,0.0210234,-0.00270883,0.00360633,-0.000446248,0.0266539,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,2
0,0,0.0248426,-0.0147664,-0.033493,-0.0208823,-0.00678304,0.0209951,-0.00130675,0.00077973,0.00387784,0.0285603,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,0
0,0,0.0249635,-0.0146457,-0.0344533,-0.0206807,-0.00767344,0.0210658,-0.00143937,-0.00028603,0.0049082,0.0248868,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,0
0,0,0.0246515,-0.0146918,-0.0326663,-0.0222043,-0.00719865,0.0200461,-0.00283088,-0.00151166,0.00580666,0.0293854,22.72916794,1.491666794,215,32.75,6,40.46598816,83.25,27.25,65.25,47,17.63958359,43.28723907,861.5127563,33.625,-7.125,40.75,22.04166794,15.66250038,1714.75,18735.4791666667,2.97291664275,0.611041657583333,2,1,1,Good,1,1,0,0
