CHR SNP BP A1 TEST NMISS BETA STAT P neglogp Direction neglog
3 S3_192484757 192484757 NC ADD 5229 -0.4705 -6.078 1.221e-09 8.91328433605512 Negative 8.91328433605512
3 S3_192486778 192486778 T ADD 5236 0.3611 5.643 1.671e-08 7.77702355010661 Positive 7.77702355010661
3 S3_192562582 192562582 A ADD 5236 -0.5729 -5.463 4.693e-08 7.32854944578751 Negative 7.32854944578751
4 S4_193239638 193239638 A ADD 5234 0.656 6.657 2.799e-11 10.5529971015338 Positive 10.5529971015338
4 S4_193239646 193239646 T ADD 5172 0.9557 8.773 1.741e-18 17.7592012288827 Positive 17.7592012288827
4 S4_193239658 193239658 G ADD 5236 0.6708 6.695 2.15e-11 10.6675615400844 Positive 10.6675615400844
8 S8_73817047 73817047 A ADD 5236 0.9399 10.33 5.384e-25 24.2688949487841 Positive 24.2688949487841
9 S9_29026157 29026157 T ADD 5236 0.4789 6.512 7.415e-11 10.1298888446356 Positive 10.1298888446356
9 S9_29026173 29026173 C ADD 5236 1.264 14.56 4.878e-48 47.3117582040223 Positive 47.3117582040223
10 S10_71197305 71197305 A ADD 5236 -0.6351 -7.613 2.673e-14 13.5730010412435 Negative 13.5730010412435
10 S10_71198303 71198303 G ADD 5146 -0.4663 -5.642 1.682e-08 7.77417400853811 Negative 7.77417400853811
